subjID,run,RT,MAD,AD,MD_above,AUC
101,congruent,1712.484848,0.340788736,0.076905812,0.373033006,0.247535367
101,incongruent,3319.590909,0.538305907,0.165775928,0.597754199,0.340116309
102,congruent,1452,0.620315282,0.185197042,0.630570932,0.404898011
102,incongruent,1602.0875,0.533148401,0.146070509,0.553741725,0.332229829
103,congruent,1995.641791,0.466824157,0.138383103,0.531170042,0.292718906
103,incongruent,2164.5,0.480564661,0.143450401,0.539843717,0.293722545
104,congruent,1342.97,0.031658041,0.00596454,0.09136246,0.029831581
104,incongruent,1298.493506,0.112371339,0.03426393,0.164391501,0.077354559
105,congruent,1116.949495,0.341934304,0.069948282,0.354455018,0.278184902
105,incongruent,1221.791667,0.524324419,0.122907977,0.529751775,0.3529703
106,congruent,1480.0625,0.884941271,0.289269659,0.884941271,0.621429798
106,incongruent,1032.851064,0.662313742,0.260005389,0.677382553,0.461530123
107,congruent,1345.75,0.445556584,0.105051181,0.486985483,0.198751849
107,incongruent,1199.402174,0.52334344,0.119974674,0.599519128,0.171186342
108,congruent,1806.4,0.165491386,0.056944375,0.19516172,0.108066477
108,incongruent,2303.644737,0.305512187,0.113666291,0.342488692,0.181885271
109,congruent,1376.86,0.25890936,0.068565727,0.358892173,0.11433412
109,incongruent,1408.282051,0.351521799,0.076663959,0.442624659,0.207718155
110,congruent,1077.79,0.326092815,0.088516336,0.365301607,0.240297376
110,incongruent,1436.434211,0.978838364,0.276649758,0.978838364,0.510095702
111,congruent,1235.98,0.718446696,0.218044207,0.723773844,0.394748587
111,incongruent,1545.723684,0.702919276,0.213021925,0.710705749,0.390592868
112,congruent,1962.02381,0.683328812,0.258767295,0.783330905,0.390610991
112,incongruent,1402.758621,0.669009213,0.220563907,0.688758528,0.432837368
113,congruent,1436.40404,0.537912112,0.167879809,0.581909033,0.379754116
113,incongruent,1682.118421,0.868433055,0.240580925,0.901453852,0.582626544
114,congruent,1450.947368,0.400565345,0.122396703,0.457729289,0.234262256
114,incongruent,1174.428571,0.564542295,0.183822752,0.593818694,0.34207726
115,congruent,1341.73,0.131662712,0.034738684,0.18446298,0.080855537
115,incongruent,1251.883117,0.164154846,0.042331727,0.203614224,0.11277952
116,congruent,1122.828283,0.391256311,0.115073317,0.398780345,0.270201108
116,incongruent,1810.409639,0.515511056,0.17185996,0.521389597,0.340590021
117,congruent,1145.12,0.177154929,0.040974651,0.23209317,0.13704506
117,incongruent,1199.986301,0.2616892,0.075919108,0.282999447,0.183747961
118,congruent,1647.84,0.361183767,0.127118965,0.389660529,0.261146448
118,incongruent,1853.525641,0.268610359,0.075222046,0.323353854,0.151701176
119,congruent,1188.161616,0.366580823,0.06936041,0.369884748,0.28896003
119,incongruent,1279.506329,0.466243452,0.118781009,0.468833798,0.331853609
120,congruent,1363.717172,0.270965468,0.057059896,0.326732935,0.227260981
120,incongruent,1464.945205,0.304756924,0.086727102,0.346734656,0.229729535
121,congruent,1058.46,0.40344002,0.09104469,0.410330909,0.296757609
121,incongruent,1443.842105,0.765925354,0.216188647,0.778666118,0.487827489
122,congruent,1157.689655,0.234603365,0.054896917,0.246862575,0.153146825
122,incongruent,1217.123288,0.268440048,0.07073994,0.29565593,0.181302274
123,congruent,1779.87,0.249799103,0.059589907,0.268673209,0.213177584
123,incongruent,1810.4,0.490437449,0.139676309,0.498917554,0.363173016
124,congruent,1029.530612,0.616091199,0.168044135,0.6191572,0.425543556
124,incongruent,1217.948718,1.016323465,0.355340887,1.016323465,0.585219442
125,congruent,1086.06,0.406227539,0.083994074,0.431277944,0.284122567
125,incongruent,1029.459459,0.210969632,0.032239042,0.230063609,0.150755433
126,congruent,1320.255102,0.388051752,0.078850446,0.418275756,0.274795185
126,incongruent,1585.582278,0.425812696,0.092232273,0.47015462,0.291956526
127,congruent,1406.395833,0.726965254,0.209276958,0.761673337,0.436185013
127,incongruent,1421.308642,0.830132465,0.25714795,0.860894182,0.581279286
128,congruent,1454.63,0.333841978,0.069933037,0.35714847,0.286685954
128,incongruent,1813.371429,0.471498077,0.104153245,0.490668746,0.352516641
129,congruent,1380.177083,0.49203023,0.148906697,0.530821999,0.245342378
129,incongruent,1542.194805,0.720587804,0.207066338,0.754829873,0.430776315
130,congruent,1158.292929,0.474479225,0.129474476,0.592615984,0.322104903
130,incongruent,1240.959459,0.602050081,0.155278808,0.644903454,0.415330424
131,congruent,1313.744898,0.593856347,0.199602018,0.600167079,0.383060481
131,incongruent,1087.8875,0.743532208,0.262610724,0.744082723,0.496739503
132,congruent,980.26,0.827493254,0.247287261,0.831458832,0.530984701
132,incongruent,1118.694118,1.134737887,0.370353731,1.134737887,0.644302662
133,congruent,1449.927835,0.590136583,0.178137736,0.614716437,0.190965668
133,incongruent,1892.671053,0.603436965,0.163287706,0.62260949,0.259336986
134,congruent,1356.021277,0.97076782,0.310913977,0.971501511,0.672769032
134,incongruent,1387.777778,0.809828741,0.245732168,0.818916901,0.591302472
135,congruent,1240.242424,0.237430419,0.047819418,0.266505394,0.207014225
135,incongruent,1289.186667,0.156211394,0.025765274,0.178925158,0.121012912
136,congruent,1087.903226,0.695423405,0.206581384,0.734602134,0.371115901
136,incongruent,1683.7375,0.506325755,0.164038456,0.571071965,0.228785276
137,congruent,1633.717172,0.414196833,0.112565925,0.429496465,0.294193105
137,incongruent,2204.370787,0.68415099,0.195696588,0.690697588,0.424652468
138,congruent,2045.695652,0.570219262,0.164920605,0.600643933,0.341034035
138,incongruent,2151.444444,0.689316442,0.228886711,0.724084317,0.380043233
139,congruent,1019.56,0.400016857,0.176355812,0.400016857,0.267695331
139,incongruent,1022.546667,0.510597423,0.1928586,0.510597423,0.326750965
140,congruent,1240.545455,0.800364238,0.205958314,0.808765099,0.518829581
140,incongruent,1775.357143,1.136758504,0.357966467,1.14941649,0.708657983
141,congruent,1408.070707,0.611795666,0.181207169,0.634808811,0.32316665
141,incongruent,2229.363636,0.990461502,0.305383156,1.021144179,0.50287034
142,congruent,1274.78,0.438726266,0.115347173,0.463206939,0.276778968
142,incongruent,1670.682353,0.808028278,0.267572139,0.827228971,0.490935275
143,congruent,980.5306122,0.190265197,0.064716359,0.23590534,0.120898472
143,incongruent,1128.943662,0.17409684,0.038184701,0.236211674,0.128245177
144,congruent,1087.663158,0.528631101,0.137352598,0.538645704,0.453491082
144,incongruent,1536.576087,0.669840917,0.174631525,0.711041783,0.502062585
145,congruent,1550.68,0.243826113,0.06128148,0.269206321,0.195787037
145,incongruent,1564.716216,0.211252573,0.055273782,0.253141872,0.162268691
146,congruent,934.1030928,0.531457085,0.118325714,0.54644185,0.270869505
146,incongruent,1124.928571,0.651472333,0.156429942,0.678762693,0.385438504
147,congruent,1648.020202,0.219604297,0.091555788,0.24671629,0.117064054
147,incongruent,1944.112676,0.385623282,0.156757398,0.426438572,0.223117972
149,congruent,838.875,0.105885673,0.037239596,0.152940498,0.082782249
149,incongruent,897.4827586,0.173044129,0.070461488,0.21136535,0.121839108
150,congruent,1363.591398,0.037501234,0.020129237,0.138868714,-0.013628045
150,incongruent,1962.458333,0.439877753,0.137191121,0.503110655,0.276021948
151,congruent,1678.1,0.415323463,0.141396349,0.424857065,0.304749556
151,incongruent,2455.432432,0.551500272,0.200548681,0.5986317,0.349148269
153,congruent,1089.397959,0.755270206,0.203151019,0.822185391,0.109008381
153,incongruent,1220.381579,0.565853512,0.142742969,0.624487713,0.24552607
154,congruent,1150.765957,0.808688132,0.286827968,0.824128639,0.482749836
154,incongruent,1423.824324,0.743053523,0.251654853,0.778535094,0.445275168
158,congruent,905.9494949,0.431106931,0.101696252,0.469043972,0.29108441
158,incongruent,1040.857143,0.604139167,0.141620077,0.613855817,0.348828328
160,congruent,1139.763441,0.754585109,0.210061761,0.764340268,0.506790675
160,incongruent,1375.794872,0.729991001,0.190227304,0.74132973,0.48105705
161,congruent,1569.073684,0.481361217,0.178116125,0.514895693,0.324907026
161,incongruent,2026.897059,0.678872409,0.254413065,0.692732524,0.405079107
163,congruent,840.34,0.362515004,0.076711546,0.375853924,0.262526718
163,incongruent,948.5641026,0.600548236,0.133035387,0.621735848,0.44281032
164,congruent,1540.31,0.419164279,0.116889543,0.434979155,0.281786149
164,incongruent,1908.7,0.55236638,0.183896827,0.587263757,0.309974615
165,congruent,1120.677778,0.541539844,0.158098995,0.553754828,0.350738574
165,incongruent,1442.577465,0.62233596,0.193620671,0.626794757,0.393519669
